date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
2005-04-08,8.5,8.81,8.5,8.79,3897372,941989113.63,1967227458.0972,107165997,299052546,676975416
2005-04-11,8.76,8.93,8.65,8.7,3728267,932344173.9,1931960789.4525,107165997,299052546,676975416
2005-04-12,8.6,8.7,8.44,8.45,2395705,905552674.65,1906581994.1888,107165997,299052546,676975416
2005-04-13,8.66,8.85,8.52,8.65,3375208,926985874.05,1944650187.0844,107165997,299052546,676975416
2005-04-14,8.65,8.74,8.47,8.51,2343750,911982634.47,1916099042.4127,107165997,299052546,676975416
2005-04-15,8.44,8.47,8.2,8.34,2318338,893764414.98,1893892596.5569,107165997,299052546,676975416
2005-04-18,8.28,8.36,8.24,8.32,968450,891621095.04,1824272864.7955,107165997,299052546,676975416
2005-04-19,8.3,8.42,8.3,8.36,887175,895907734.92,1836963458.6376,107165997,299052546,676975416
2005-04-20,8.35,8.36,8.1,8.22,1259154,880904495.34,1855999349.4007,107165997,299052546,676975416
2005-04-21,8.2,8.29,8.07,8.24,1293408,883047815.28,1789205066.094,107165997,299052546,676975416
2005-04-22,8.24,8.24,8.24,8.24,--,883047815.28,1789036400.458,107165997,299052546,676975416
2005-04-25,7.42,7.9,7.42,7.42,2147900,795171697.74,1611553499.2477,107165997,299052546,676975416
2005-04-26,7.18,7.19,6.68,6.94,9412222,743732019.18,1532678091.1877,107165997,299052546,676975416
2005-04-27,6.91,6.93,6.64,6.66,3563622,713725540.02,1548544324.0157,107165997,299052546,676975416
2005-04-28,6.62,6.98,6.6,6.97,2743689,746946999.09,1624242896.8796,107165997,299052546,676975416
2005-04-29,6.97,6.99,6.79,6.84,1791938,733015419.48,1583151581.7965,107165997,299052546,676975416
2005-05-09,6.9,6.9,6.49,6.49,1097175,695507320.53,1535561854.8888,107165997,299052546,676975416
2005-05-10,6.48,6.48,5.86,6.27,2307421,671930801.19,1539459705.7733,107165997,299052546,676975416
2005-05-11,6.25,6.25,6.0,6.11,1052374,654784241.67,1513353315.6652,107165997,299052546,676975416
2005-05-12,6.01,6.11,5.99,6.02,1300279,645139301.94,1510180667.2047,107165997,299052546,676975416
2005-05-13,5.93,6.16,5.93,6.15,1022514,659070881.55,1526187753.7819,107165997,299052546,676975416
2005-05-16,6.18,6.18,6.05,6.12,514739,655855901.64,1522871261.0467,107165997,299052546,676975416
2005-05-17,6.1,6.27,6.0,6.21,1019558,665500841.37,1557623559.3123,107165997,299052546,676975416
2005-05-18,6.25,6.29,6.18,6.28,803450,673002461.16,1548106511.0884,107165997,299052546,676975416
2005-05-19,6.37,6.37,6.18,6.29,653492,674074121.13,1551425097.1913,107165997,299052546,676975416
2005-05-20,6.36,6.48,6.32,6.33,1820333,678360761.01,1584196172.3397,107165997,299052546,676975416
2005-05-23,6.3,6.3,6.07,6.12,1088500,655855901.64,1568617927.1134,107165997,299052546,676975416
2005-05-24,6.1,6.34,6.09,6.2,906055,664429181.4,1597948103.6675,107165997,299052546,676975416
2005-05-25,6.19,6.31,6.18,6.28,846581,673002461.16,1595672014.7399,107165997,299052546,676975416
2005-05-26,6.29,6.32,6.16,6.19,1371994,663357521.43,1568391245.2836,107165997,299052546,676975416
2005-05-27,3.9,3.99,3.77,3.78,1584550,607631204.88,1440867464.303,160748996,448578819,1015463124
2005-05-30,3.78,3.85,3.71,3.79,1574791,609238694.84,1402566907.5791,160748996,448578819,1015463124
2005-05-31,3.77,3.8,3.69,3.74,880233,601201245.04,1364530115.2008,160748996,448578819,1015463124
2005-06-01,3.75,3.76,3.48,3.5,1618900,562621486.0,1355115342.9477,160748996,448578819,1015463124
2005-06-02,3.48,3.54,3.32,3.39,1711771,544939096.44,1239898770.4451,160748996,448578819,1015463124
2005-06-03,3.4,3.47,3.34,3.42,2086115,549761566.32,1249201397.9936,160748996,448578819,1015463124
2005-06-06,3.42,3.5,3.29,3.49,2480197,561013996.04,1287708300.9742,160748996,448578819,1015463124
2005-06-07,3.52,3.6,3.46,3.52,2703729,565836465.92,1230476820.9309,160748996,448578819,1015463124
2005-06-08,3.52,3.87,3.52,3.85,4951838,618883634.6,1340170491.0138,160748996,448578819,1015463124
2005-06-09,3.86,4.1,3.76,4.03,6709708,647818453.88,1354605757.4093,160748996,448578819,1015463124
2005-06-10,4.01,4.01,3.83,3.85,3236632,618883634.6,1316324040.9958,160748996,448578819,1015463124
2005-06-13,3.85,3.91,3.76,3.88,2123043,623706104.48,1311924828.5179,160748996,448578819,1015463124
2005-06-14,3.86,3.93,3.72,3.75,1711726,602808735.0,1302628481.0729,160748996,448578819,1015463124
2005-06-15,3.75,3.75,3.59,3.62,1749967,581911365.52,1298345001.9303,160748996,448578819,1015463124
2005-06-16,3.62,3.7,3.57,3.68,1634918,591556305.28,1303608177.2136,160748996,448578819,1015463124
2005-06-17,3.7,3.74,3.61,3.61,1036150,580303875.56,1256092914.3899,160748996,448578819,1015463124
2005-06-20,3.62,3.83,3.58,3.81,2848912,612453674.76,1298833055.6854,160748996,448578819,1015463124
2005-06-21,3.82,3.98,3.75,3.89,3444123,625313594.44,1293814804.4372,160748996,448578819,1015463124
2005-06-22,3.89,3.91,3.82,3.88,1076916,623706104.48,1279612350.4488,160748996,448578819,1015463124
